Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,13/01/2023,19:45,Westerlo,Oud-Heverlee Leuven,,,,,,,1.95,3.75,3.5,2,3.7,3.4,2.05,3.6,3.25,2.01,3.93,3.53,2,3.6,3.4,2,3.7,3.4,2.06,4,3.53,2,3.77,3.39,1.65,2.2,1.67,2.28,1.69,2.35,1.65,2.21,-0.5,2.02,1.83,2,1.88,2.06,1.88,1.99,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/01/2023,15:00,Seraing,Standard,,,,,,,3.8,3.6,1.91,4,3.6,1.88,3.65,3.5,1.9,4.07,3.6,1.92,4,3.4,1.91,3.9,3.5,1.9,4.17,3.67,2,3.91,3.55,1.91,1.98,1.88,2,1.87,2.03,1.92,1.95,1.85,0.5,1.93,1.93,1.95,1.93,1.98,2,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/01/2023,17:15,Eupen,St Truiden,,,,,,,2.9,3.4,2.3,2.9,3.4,2.4,2.85,3.3,2.35,3.03,3.35,2.41,2.9,3.3,2.35,2.9,3.3,2.38,3.2,3.45,2.44,2.95,3.32,2.37,2.02,1.83,2.02,1.83,2.08,1.89,1.98,1.82,0.25,1.8,2.05,1.8,2.07,1.84,2.14,1.79,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/01/2023,17:15,Mechelen,Oostende,,,,,,,1.73,3.8,4.33,1.77,3.9,4.33,1.75,3.8,4,1.74,4.09,4.4,1.75,3.75,4.33,1.73,3.9,4.33,1.78,4.2,4.5,1.74,3.97,4.26,1.65,2.2,1.66,2.25,1.67,2.31,1.63,2.23,-0.75,1.95,1.9,1.93,1.92,2,1.96,1.94,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/01/2023,19:45,Genk,Waregem,,,,,,,1.25,6.5,8,1.26,6.5,9.5,1.25,6.25,9.5,1.26,6.4,9.3,1.24,5.8,11,1.22,6.5,10,1.28,6.75,11,1.25,6.39,9.45,1.33,3.4,1.37,3.05,1.37,3.4,1.34,3.17,-1.75,1.88,1.98,1.89,1.94,1.96,2.05,1.87,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,15/01/2023,12:30,Club Brugge,Anderlecht,,,,,,,1.91,3.75,3.6,1.98,3.6,3.6,2,3.55,3.4,1.93,3.78,3.8,2,3.5,3.5,1.91,3.6,3.75,2,3.84,3.82,1.95,3.68,3.63,1.73,2.08,1.75,2.11,1.85,2.21,1.75,2.06,-0.5,1.93,1.93,1.93,1.93,2,1.95,1.94,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,15/01/2023,15:00,Gent,Kortrijk,,,,,,,1.36,5,8.5,1.34,5.25,8.5,1.35,5.25,7.75,1.32,5.43,9.12,1.35,4.75,8.5,1.33,5,8.5,1.37,5.7,9.4,1.34,5.16,8.26,1.57,2.35,1.6,2.37,1.62,2.45,1.58,2.34,-1.5,2.02,1.83,2.04,1.83,2.06,1.9,2,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,15/01/2023,17:30,St. Gilloise,Antwerp,,,,,,,2.15,3.4,3.25,2.15,3.4,3.25,2.15,3.4,3.1,2.16,3.51,3.36,2.15,3.4,3.25,2.05,3.25,3.1,2.2,3.62,3.65,2.13,3.44,3.29,1.9,1.95,1.92,1.92,1.96,1.98,1.88,1.91,-0.25,1.88,1.98,1.87,1.98,1.95,2,1.86,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,15/01/2023,20:00,Charleroi,Cercle Brugge,,,,,,,2.63,3.3,2.63,2.65,3.4,2.55,2.5,3.3,2.55,2.64,3.42,2.68,2.6,3.4,2.55,2.55,3.4,2.6,2.65,3.6,2.75,2.58,3.4,2.63,1.88,1.98,1.91,1.93,1.91,2.04,1.84,1.95,0,1.93,1.93,1.91,1.94,1.96,2.04,1.9,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,12/01/2023,20:00,Fulham,Chelsea,,,,,,,3.3,3.5,2.15,3.3,3.5,2.15,3.25,3.45,2.2,3.43,3.6,2.21,3.2,3.4,2.2,3.3,3.4,2.1,3.52,3.74,2.23,3.36,3.54,2.18,1.87,2.03,1.86,2.06,1.88,2.08,1.82,2.01,0.25,2.02,1.88,2.02,1.91,2.05,1.91,2,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
