HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,home_past_form1,home_past_form2,home_past_form3,away_past_form1,away_past_form2,away_past_form3,B365H,B365D,B365A
Arsenal,Everton,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.8,8.0
Birmingham,Tottenham,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.375,3.25,2.75
Blackburn,Wolves,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.615,3.4,5.5
Fulham,Middlesbrough,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.8
Leicester,Southampton,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.6
Man United,Bolton,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.286,4.5,10.0
Portsmouth,Aston Villa,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.375,3.25,2.75
Charlton,Man City,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.4,2.75
Leeds,Newcastle,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.25,2.375
Liverpool,Chelsea,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.25,2.875
Bolton,Blackburn,19.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.5,3.3,2.5
Chelsea,Leicester,6.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,10.0
Everton,Fulham,14.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.8,3.4,4.0
Man City,Portsmouth,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.667,3.6,4.5
Newcastle,Man United,11.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.2,2.2
