HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,home_past_form1,home_past_form2,home_past_form3,away_past_form1,away_past_form2,away_past_form3,B365H,B365D,B365A
Brentford,Liverpool,9.0,6.0,0.3333333333333333,0.47058823529411764,0.4444444444444444,0.23529411764705882,0.2222222222222222,0.29411764705882354,4.555555555555555,6.352941176470588,1.2142857142857144,1.1347087378640777,0.9169363538295578,0.9866071428571429,2.0,2.0,0.0,1.0,2.0,2.0,0.0,5.5,4.33,1.55
Arsenal,Newcastle,1.0,3.0,0.8235294117647058,0.5,0.11764705882352941,0.4444444444444444,0.058823529411764705,0.05555555555555555,5.705882352941177,5.0,1.6696428571428572,1.3754045307443368,0.825242718446602,0.40476190476190477,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.8,3.8,4.33
Everton,Brighton,16.0,8.0,0.16666666666666666,0.47058823529411764,0.3333333333333333,0.17647058823529413,0.5,0.35294117647058826,3.5,5.529411764705882,0.5396825396825397,1.7421790722761599,1.1003236245954693,1.011904761904762,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,2.1
Leicester,Fulham,13.0,7.0,0.2777777777777778,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.6111111111111112,0.3333333333333333,4.277777777777778,4.5,0.6071428571428572,1.283710895361381,0.9169363538295578,0.876984126984127,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.2,3.6,3.1
Man United,Bournemouth,4.0,15.0,0.625,0.23529411764705882,0.125,0.23529411764705882,0.25,0.5294117647058824,5.375,3.3529411764705883,1.0408163265306123,0.9283980582524273,0.47156726768377255,1.9732142857142858,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.29,5.5,11.0
Southampton,Nott'm Forest,20.0,18.0,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.6470588235294118,0.5294117647058824,3.764705882352941,3.1176470588235294,0.6830357142857143,0.10315533980582525,1.5473300970873787,1.6696428571428572,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.5,3.8
Leeds,West Ham,14.0,17.0,0.25,0.23529411764705882,0.25,0.11764705882352941,0.5,0.6470588235294118,3.8125,4.0,0.9866071428571429,0.412621359223301,1.237864077669903,0.7589285714285715,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.6,3.5,2.6
Aston Villa,Wolves,12.0,19.0,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.47058823529411764,0.5882352941176471,4.117647058823529,3.2941176470588234,0.9107142857142858,0.5157766990291263,0.9283980582524273,0.9107142857142858,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.95,3.6,4.0
Crystal Palace,Tottenham,11.0,5.0,0.375,0.5294117647058824,0.25,0.17647058823529413,0.375,0.29411764705882354,3.6875,5.823529411764706,0.7589285714285715,1.237864077669903,1.1347087378640777,0.9107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.5,2.15
Chelsea,Man City,10.0,2.0,0.4375,0.6875,0.25,0.1875,0.3125,0.125,3.75,6.25,1.0408163265306123,1.532593619972261,0.7073509015256588,0.5204081632653061,0.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,4.0,1.67
